trackName,artistName,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
"3,000 Miles From Home.",Ben Zaidi,Pop,0.713,0.418,2,-9.035,1,0.0519,0.5,0.000655,0.119,0.527,84.041,2AUvwye5K9DWdXOqlX1i0l,158507,4
"30,000 Feet",Ben Rector,Pop,0.555,0.452,0,-9.636,1,0.0554,0.694,0.0,0.0595,0.321,179.921,0KF5nzdiqZlxVK68MPITst,256933,4
3005,Childish Gambino,Rap/Hip Hop,0.664,0.447,6,-7.272,0,0.289,0.112,0.0,0.091,0.659,83.138,5cc9Zbfp9u10sfJeKZ3h16,234215,4
3:15,Bazzi,Pop,0.651,0.654,1,-5.481,1,0.0466,0.385,0.0,0.181,0.539,141.975,6pmZMP2ET1OJi5rKfLO8jD,167019,4
4u,blackbear,Pop,0.776,0.513,5,-6.757,1,0.0872,0.392,0.0,0.0642,0.813,153.934,1XcXhu1X0xBFMDFyq0b7Ue,158571,4
5 Taara,Diljit Dosanjh,Folk/International,0.687,0.855,4,-2.837,0,0.109,0.13,0.0,0.311,0.659,167.947,4OFiDV3YIUVwMUNsXRnqeV,178421,4
5 dollars,Christine and the Queens,Pop,0.726,0.654,2,-6.201,1,0.0423,0.424,0.0,0.0668,0.624,129.013,5KO53tfiVN6daF4w6twc63,208293,4
52-Hearts,Hikaru Station,Electronic/Dance Music,0.285,0.803,1,-6.128,1,0.158,0.714,1.07e-05,0.0495,0.182,95.806,5KocKlvTHArD4PQSaxuEZz,316800,4
6 Underground,Sneaker Pimps,Electronic/Dance Music,0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,7KvSuH86lIT2aTl9PBCAfd,228840,4
6AM,Fly By Midnight,Pop,0.637,0.885,5,-4.522,1,0.0274,0.0318,0.0,0.107,0.613,127.027,5zYqSr9RtfujCy72aCGYEC,190912,4
7 Minutes,Dean Lewis,Pop,0.613,0.739,10,-6.478,1,0.0311,0.526,0.0,0.149,0.712,104.966,6FYbr9QzRoZPh0Re8lDO9z,211453,4
7 Years,Lukas Graham,Pop,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk,237300,4
772 Love,YNW Melly,Rap/Hip Hop,0.676,0.623,6,-7.297,0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,230wNo1dnexltKYQbsW7oD,209489,4
8 Letters,Why Don't We,Pop,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979,4zRZAmBQP8vhNPf9i9opXt,190027,4
90210 (feat. G-Eazy),blackbear,Pop,0.707,0.707,11,-6.161,0,0.0375,0.0306,0.0,0.127,0.231,104.039,4hdog9vyyqG9pcppG2Izek,223296,4
@ my worst,blackbear,Pop,0.615,0.774,4,-5.152,0,0.0551,0.0173,0.0,0.15,0.336,136.887,0mHGftgYtmpH4y17T3VZ2E,191364,4
A Dangerous Thing,AURORA,Pop,0.541,0.556,11,-6.15,0,0.0356,0.465,0.0,0.116,0.106,105.886,0PDlmmYkuQCUAFhMXvtlsU,215573,4
